ligand	receptor	ligand.name	receptor.name	ligand.synonyms	receptor.synonyms	ligand.altern.names	receptor.altern.names	source	PMIDs	cells.L	cells.R	remarks
TLN1	ITGB3	Talin-1	Integrin beta-3	KIAA1027,TLN	GP3A	""	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	reactome	""	""	""	""
TLN1	ITGB5	Talin-1	Integrin beta-5	KIAA1027,TLN	""	""	""	reactome	""	""	""	""
TNC	CNTN1	Tenascin	Contactin-1	HXB	""	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	Glycoprotein gp135 || Neural cell surface protein F3	HPRD,fantom5	10103110	""	""	""
TNC	EGFR	Tenascin	Epidermal growth factor receptor	HXB	ERBB,ERBB1,HER1	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	EC 2.7.10.1 || Proto-oncogene c-ErbB-1 || Receptor tyrosine-protein kinase erbB-1	HPRD,fantom5	11470832	""	""	""
TNC	ITGA2	Tenascin	Integrin alpha-2	HXB	CD49B	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	CD49 antigen-like family member B || Collagen receptor || Platelet membrane glycoprotein Ia || GPIa || VLA-2 subunit alpha || CD antigen CD49b	fantom5	""	""	""	""
TNC	ITGA5	Tenascin	Integrin alpha-5	HXB	FNRA	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	CD49 antigen-like family member E || Fibronectin receptor subunit alpha || Integrin alpha-F || VLA-5 || CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain	HPRD,fantom5	9314546	""	""	""
TNC	ITGA7	Tenascin	Integrin alpha-7 [Cleaved into: Integrin alpha-7 heavy chain; Integrin alpha-7 light chain; Integrin alpha-7 70 kDa form]	HXB	UNQ406/PRO768	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	""	fantom5	14715956	""	""	""
TNC	ITGA8	Tenascin	Integrin alpha-8 [Cleaved into: Integrin alpha-8 heavy chain; Integrin alpha-8 light chain]	HXB	""	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	""	fantom5	""	""	""	""
TNC	ITGA9	Tenascin	Integrin alpha-9	HXB	""	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	Integrin alpha-RLC	fantom5	""	""	""	""
TNC	ITGAV	Tenascin	Integrin alpha-V	HXB	MSK8,VNRA,VTNR	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	Vitronectin receptor || Vitronectin receptor subunit alpha || CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain	fantom5	""	""	""	""
TNC	ITGB1	Tenascin	Integrin beta-1	HXB	FNRB,MDF2,MSK12	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	Fibronectin receptor subunit beta || Glycoprotein IIa || GPIIA || VLA-4 subunit beta || CD antigen CD29	fantom5,reactome	14715956	""	""	""
TNC	ITGB3	Tenascin	Integrin beta-3	HXB	GP3A	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	Platelet membrane glycoprotein IIIa || GPIIIa || CD antigen CD61	reactome	""	""	""	""
TNC	ITGB6	Tenascin	Integrin beta-6	HXB	""	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	""	reactome	""	""	""	""
TNC	NT5E	Tenascin	5'-nucleotidase	HXB	NT5,NTE	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	5'-NT || EC 3.1.3.5 || Ecto-5'-nucleotidase || CD antigen CD73	fantom5	""	""	""	""
TNC	PTPRB	Tenascin	Receptor-type tyrosine-protein phosphatase beta	HXB	PTPB	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	Protein-tyrosine phosphatase beta || R-PTP-beta || EC 3.1.3.48 || Vascular endothelial protein tyrosine phosphatase || VE-PTP	fantom5,HPRD	11313993	""	""	""
TNC	PTPRZ1	Tenascin	Receptor-type tyrosine-protein phosphatase zeta	HXB	HTPZP2,PTPRZ,PTPRZ2,PTPZ	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	R-PTP-zeta || EC 3.1.3.48 || Protein-tyrosine phosphatase receptor type Z polypeptide 1 || Protein-tyrosine phosphatase receptor type Z polypeptide 2 || R-PTP-zeta-2	fantom5	""	""	""	""
TNC	SDC1	Tenascin	Syndecan-1	HXB	SDC	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	SYND1 || CD antigen CD138	fantom5	""	""	""	""
TNC	SDC4	Tenascin	Syndecan-4	HXB	""	TN || Cytotactin || GMEM || GP 150-225 || Glioma-associated-extracellular matrix antigen || Hexabrachion || JI || Myotendinous antigen || Neuronectin || Tenascin-C || TN-C	SYND4 || Amphiglycan || Ryudocan core protein	fantom5	""	""	""	""
TNFSF10	TNFRSF10A	Tumor necrosis factor ligand superfamily member 10	Tumor necrosis factor receptor superfamily member 10A	APO2L,TRAIL	APO2,DR4,TRAILR1	Apo-2 ligand || Apo-2L || TNF-related apoptosis-inducing ligand || Protein TRAIL || CD antigen CD253	Death receptor 4 || TNF-related apoptosis-inducing ligand receptor 1 || TRAIL receptor 1 || TRAIL-R1 || CD antigen CD261	HPMR,IUPHAR,uniprot,fantom5,HPRD	15766588,10549288,9082980,9325248	""	""	""
TNFSF10	TNFRSF10B	Tumor necrosis factor ligand superfamily member 10	Tumor necrosis factor receptor superfamily member 10B	APO2L,TRAIL	DR5,KILLER,TRAILR2,TRICK2,ZTNFR9,UNQ160/PRO186	Apo-2 ligand || Apo-2L || TNF-related apoptosis-inducing ligand || Protein TRAIL || CD antigen CD253	Death receptor 5 || TNF-related apoptosis-inducing ligand receptor 2 || TRAIL receptor 2 || TRAIL-R2 || CD antigen CD262	HPMR,IUPHAR,uniprot,fantom5,HPRD	15766588,9311998,10549288,9325248	""	""	""
TNFSF10	TNFRSF10C	Tumor necrosis factor ligand superfamily member 10	Tumor necrosis factor receptor superfamily member 10C	APO2L,TRAIL	DCR1,LIT,TRAILR3,TRID,UNQ321/PRO366	Apo-2 ligand || Apo-2L || TNF-related apoptosis-inducing ligand || Protein TRAIL || CD antigen CD253	Antagonist decoy receptor for TRAIL/Apo-2L || Decoy TRAIL receptor without death domain || Decoy receptor 1 || DcR1 || Lymphocyte inhibitor of TRAIL || TNF-related apoptosis-inducing ligand receptor 3 || TRAIL receptor 3 || TRAIL-R3 || TRAIL receptor without an intracellular domain || CD antigen CD263	HPRD,HPMR,uniprot,fantom5	9325248,9613612,9314565,9325248	""	""	""
TNFSF10	TNFRSF10D	Tumor necrosis factor ligand superfamily member 10	Tumor necrosis factor receptor superfamily member 10D	APO2L,TRAIL	DCR2,TRAILR4,TRUNDD,UNQ251/PRO288	Apo-2 ligand || Apo-2L || TNF-related apoptosis-inducing ligand || Protein TRAIL || CD antigen CD253	Decoy receptor 2 || DcR2 || TNF-related apoptosis-inducing ligand receptor 4 || TRAIL receptor 4 || TRAIL-R4 || TRAIL receptor with a truncated death domain || CD antigen CD264	HPMR,fantom5,uniprot,HPRD	9242610,943	""	""	""
TNFSF10	TNFRSF11B	Tumor necrosis factor ligand superfamily member 10	Tumor necrosis factor receptor superfamily member 11B	APO2L,TRAIL	OCIF,OPG	Apo-2 ligand || Apo-2L || TNF-related apoptosis-inducing ligand || Protein TRAIL || CD antigen CD253	Osteoclastogenesis inhibitory factor || Osteoprotegerin	HPRD,uniprot,fantom5	9520411,122	""	""	""
TNFSF11	TNFRSF11A	Tumor necrosis factor ligand superfamily member 11	Tumor necrosis factor receptor superfamily member 11A	OPGL,RANKL,TRANCE	RANK	Osteoclast differentiation factor || ODF || Osteoprotegerin ligand || OPGL || Receptor activator of nuclear factor kappa-B ligand || RANKL || TNF-related activation-induced cytokine || TRANCE || CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form	Osteoclast differentiation factor receptor || ODFR || Receptor activator of NF-KB || CD antigen CD265	HPMR,fantom5,IUPHAR,uniprot,HPRD	11581298,94	""	""	""
TNFSF11	TNFRSF11B	Tumor necrosis factor ligand superfamily member 11	Tumor necrosis factor receptor superfamily member 11B	OPGL,RANKL,TRANCE	OCIF,OPG	Osteoclast differentiation factor || ODF || Osteoprotegerin ligand || OPGL || Receptor activator of nuclear factor kappa-B ligand || RANKL || TNF-related activation-induced cytokine || TRANCE || CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form	Osteoclastogenesis inhibitory factor || Osteoprotegerin	HPRD,uniprot,fantom5,HPMR	9568710,11733492,12221720,9520411	""	""	""
TNFSF12	TNFRSF12A	Tumor necrosis factor ligand superfamily member 12	Tumor necrosis factor receptor superfamily member 12A	APO3L,DR3LG,UNQ181/PRO207	FN14	APO3 ligand || TNF-related weak inducer of apoptosis || TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form	Fibroblast growth factor-inducible immediate-early response protein 14 || FGF-inducible 14 || Tweak-receptor || TweakR || CD antigen CD266	HPRD,fantom5,IUPHAR,uniprot,HPMR	12787562,11728344,12529173	""	""	""
TNFSF12	TNFRSF25	Tumor necrosis factor ligand superfamily member 12	Tumor necrosis factor receptor superfamily member 25	APO3L,DR3LG,UNQ181/PRO207	APO3,DDR3,DR3,TNFRSF12,WSL,WSL1,UNQ455/PRO779	APO3 ligand || TNF-related weak inducer of apoptosis || TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form	Apo-3 || Apoptosis-inducing receptor AIR || Apoptosis-mediating receptor DR3 || Apoptosis-mediating receptor TRAMP || Death receptor 3 || Lymphocyte-associated receptor of death || LARD || Protein WSL || Protein WSL-1	uniprot,fantom5,HPRD	11094155	""	""	""
TNFSF12	TNFRSF8	Tumor necrosis factor ligand superfamily member 12	Tumor necrosis factor receptor superfamily member 8	APO3L,DR3LG,UNQ181/PRO207	CD30,D1S166E	APO3 ligand || TNF-related weak inducer of apoptosis || TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form	CD30L receptor || Ki-1 antigen || Lymphocyte activation antigen CD30 || CD antigen CD30	uniprot	""	""	""	""
TNFSF13B	TNFRSF13B	Tumor necrosis factor ligand superfamily member 13B	Tumor necrosis factor receptor superfamily member 13B	BAFF,BLYS,TALL1,TNFSF20,ZTNF4,UNQ401/PRO738	TACI	B lymphocyte stimulator || BLyS || B-cell-activating factor || BAFF || Dendritic cell-derived TNF-like molecule || TNF- and APOL-related leukocyte expressed ligand 1 || TALL-1 || CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form	Transmembrane activator and CAML interactor || CD antigen CD267	fantom5,uniprot,IUPHAR,HPMR,HPRD	10956646,11	""	""	""
TNFSF13B	TNFRSF13C	Tumor necrosis factor ligand superfamily member 13B	Tumor necrosis factor receptor superfamily member 13C	BAFF,BLYS,TALL1,TNFSF20,ZTNF4,UNQ401/PRO738	BAFFR,BR3	B lymphocyte stimulator || BLyS || B-cell-activating factor || BAFF || Dendritic cell-derived TNF-like molecule || TNF- and APOL-related leukocyte expressed ligand 1 || TALL-1 || CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form	B-cell-activating factor receptor || BAFF receptor || BAFF-R || BLyS receptor 3 || CD antigen CD268	fantom5,uniprot,IUPHAR,HPMR,HPRD	15851487,12721620,11509692	""	""	""
TNFSF13B	TNFRSF17	Tumor necrosis factor ligand superfamily member 13B	Tumor necrosis factor receptor superfamily member 17	BAFF,BLYS,TALL1,TNFSF20,ZTNF4,UNQ401/PRO738	BCM,BCMA	B lymphocyte stimulator || BLyS || B-cell-activating factor || BAFF || Dendritic cell-derived TNF-like molecule || TNF- and APOL-related leukocyte expressed ligand 1 || TALL-1 || CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form	B-cell maturation protein || CD antigen CD269	HPRD,fantom5,IUPHAR,uniprot,HPMR	10973284,10908663,10801128,10973284	""	""	""
TNFSF13	FAS	Tumor necrosis factor ligand superfamily member 13	Tumor necrosis factor receptor superfamily member 6	APRIL,TALL2,ZTNF2,UNQ383/PRO715	APT1,FAS1,TNFRSF6	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	Apo-1 antigen || Apoptosis-mediating surface antigen FAS || FASLG receptor || CD antigen CD95	HPRD,fantom5	10706119	""	""	""
TNFSF13	SDC2	Tumor necrosis factor ligand superfamily member 13	Syndecan-2	APRIL,TALL2,ZTNF2,UNQ383/PRO715	HSPG1	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	SYND2 || Fibroglycan || Heparan sulfate proteoglycan core protein || HSPG || CD antigen CD362	HPRD,fantom5	15846369	""	""	""
TNFSF13	TNFRSF11B	Tumor necrosis factor ligand superfamily member 13	Tumor necrosis factor receptor superfamily member 11B	APRIL,TALL2,ZTNF2,UNQ383/PRO715	OCIF,OPG	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	Osteoclastogenesis inhibitory factor || Osteoprotegerin	fantom5,HPRD	10706119	""	""	""
TNFSF13	TNFRSF13B	Tumor necrosis factor ligand superfamily member 13	Tumor necrosis factor receptor superfamily member 13B	APRIL,TALL2,ZTNF2,UNQ383/PRO715	TACI	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	Transmembrane activator and CAML interactor || CD antigen CD267	uniprot,fantom5,HPMR,HPRD	10956646	""	""	""
TNFSF13	TNFRSF14	Tumor necrosis factor ligand superfamily member 13	Tumor necrosis factor receptor superfamily member 14	APRIL,TALL2,ZTNF2,UNQ383/PRO715	HVEA,HVEM,UNQ329/PRO509	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	Herpes virus entry mediator A || Herpesvirus entry mediator A || HveA || Tumor necrosis factor receptor-like 2 || TR2 || CD antigen CD270	fantom5,HPRD	10706119	""	""	""
TNFSF13	TNFRSF17	Tumor necrosis factor ligand superfamily member 13	Tumor necrosis factor receptor superfamily member 17	APRIL,TALL2,ZTNF2,UNQ383/PRO715	BCM,BCMA	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	B-cell maturation protein || CD antigen CD269	HPRD,fantom5,IUPHAR,uniprot,HPMR	14764606,11	""	""	""
TNFSF13	TNFRSF1A	Tumor necrosis factor ligand superfamily member 13	Tumor necrosis factor receptor superfamily member 1A	APRIL,TALL2,ZTNF2,UNQ383/PRO715	TNFAR,TNFR1	A proliferation-inducing ligand || APRIL || TNF- and APOL-related leukocyte expressed ligand 2 || TALL-2 || TNF-related death ligand 1 || TRDL-1 || CD antigen CD256	Tumor necrosis factor receptor 1 || TNF-R1 || Tumor necrosis factor receptor type I || TNF-RI || TNFR-I || p55 || p60 || CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein  || TBPI)	HPRD,fantom5	10706119	""	""	""
TNFSF14	LTBR	Tumor necrosis factor ligand superfamily member 14	Tumor necrosis factor receptor superfamily member 3	HVEML,LIGHT,UNQ391/PRO726	D12S370,TNFCR,TNFR3,TNFRSF3	Herpes virus entry mediator ligand || HVEM-L || Herpesvirus entry mediator ligand || CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form	Lymphotoxin-beta receptor || Tumor necrosis factor C receptor || Tumor necrosis factor receptor 2-related protein || Tumor necrosis factor receptor type III || TNF-RIII || TNFR-III	HPMR,fantom5,IUPHAR,uniprot,HPRD	10799510,10318773,10799510,9462508	""	""	""
TNFSF14	TNFRSF14	Tumor necrosis factor ligand superfamily member 14	Tumor necrosis factor receptor superfamily member 14	HVEML,LIGHT,UNQ391/PRO726	HVEA,HVEM,UNQ329/PRO509	Herpes virus entry mediator ligand || HVEM-L || Herpesvirus entry mediator ligand || CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form	Herpes virus entry mediator A || Herpesvirus entry mediator A || HveA || Tumor necrosis factor receptor-like 2 || TR2 || CD antigen CD270	HPMR,IUPHAR,fantom5,HPRD	10894944,11390428,9462508	""	""	""
TNFSF14	TNFRSF6B	Tumor necrosis factor ligand superfamily member 14	Tumor necrosis factor receptor superfamily member 6B	HVEML,LIGHT,UNQ391/PRO726	DCR3,TR6,UNQ186/PRO212	Herpes virus entry mediator ligand || HVEM-L || Herpesvirus entry mediator ligand || CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form	Decoy receptor 3 || DcR3 || Decoy receptor for Fas ligand || M68	HPRD,fantom5,uniprot	11994433	""	""	""
TNFSF15	TNFRSF25	Tumor necrosis factor ligand superfamily member 15	Tumor necrosis factor receptor superfamily member 25	TL1,VEGI	APO3,DDR3,DR3,TNFRSF12,WSL,WSL1,UNQ455/PRO779	TNF ligand-related molecule 1 || Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form	Apo-3 || Apoptosis-inducing receptor AIR || Apoptosis-mediating receptor DR3 || Apoptosis-mediating receptor TRAMP || Death receptor 3 || Lymphocyte-associated receptor of death || LARD || Protein WSL || Protein WSL-1	HPMR,fantom5,IUPHAR,uniprot,HPRD	11911831	""	""	""
TNFSF15	TNFRSF6B	Tumor necrosis factor ligand superfamily member 15	Tumor necrosis factor receptor superfamily member 6B	TL1,VEGI	DCR3,TR6,UNQ186/PRO212	TNF ligand-related molecule 1 || Vascular endothelial cell growth inhibitor) [Cleaved into: Tumor necrosis factor ligand superfamily member 15, membrane form; Tumor necrosis factor ligand superfamily member 15, secreted form	Decoy receptor 3 || DcR3 || Decoy receptor for Fas ligand || M68	HPRD,uniprot,fantom5	11911831	""	""	""
TNFSF18	TNFRSF18	Tumor necrosis factor ligand superfamily member 18	Tumor necrosis factor receptor superfamily member 18	AITRL,GITRL,TL6,UNQ149/PRO175	AITR,GITR,UNQ319/PRO364	Activation-inducible TNF-related ligand || AITRL || Glucocorticoid-induced TNF-related ligand || hGITRL	Activation-inducible TNFR family receptor || Glucocorticoid-induced TNFR-related protein || CD antigen CD357	HPMR,fantom5,IUPHAR,uniprot,HPRD	10037686,1	""	""	""
TNFSF4	TNFRSF4	Tumor necrosis factor ligand superfamily member 4	Tumor necrosis factor receptor superfamily member 4	TXGP1	TXGP1L	Glycoprotein Gp34 || OX40 ligand || OX40L || TAX transcriptionally-activated glycoprotein 1 || CD antigen CD252	ACT35 antigen || OX40L receptor || TAX transcriptionally-activated glycoprotein 1 receptor || CD antigen CD134	fantom5,uniprot,IUPHAR,HPMR,HPRD	12134113	""	""	""
TNFSF4	TRAF2	Tumor necrosis factor ligand superfamily member 4	TNF receptor-associated factor 2	TXGP1	TRAP3	Glycoprotein Gp34 || OX40 ligand || OX40L || TAX transcriptionally-activated glycoprotein 1 || CD antigen CD252	EC 2.3.2.27 || E3 ubiquitin-protein ligase TRAF2 || RING-type E3 ubiquitin transferase TRAF2 || Tumor necrosis factor type 2 receptor-associated protein 3	HPRD,fantom5	9418902	""	""	""
TNFSF8	TNFRSF8	Tumor necrosis factor ligand superfamily member 8	Tumor necrosis factor receptor superfamily member 8	CD30L,CD30LG	CD30,D1S166E	CD30 ligand || CD30-L || CD antigen CD153	CD30L receptor || Ki-1 antigen || Lymphocyte activation antigen CD30 || CD antigen CD30	uniprot,IUPHAR,fantom5,HPMR,HPRD	8391931,118	""	""	""
TNFSF9	TNFRSF9	Tumor necrosis factor ligand superfamily member 9	Tumor necrosis factor receptor superfamily member 9	""	CD137,ILA	4-1BB ligand || 4-1BBL	4-1BB ligand receptor || CDw137 || T-cell antigen 4-1BB homolog || T-cell antigen ILA || CD antigen CD137	HPMR,fantom5,IUPHAR,uniprot,HPRD	8088337,13130507,9045669,8088337	""	""	""
TNFSF9	TRAF2	Tumor necrosis factor ligand superfamily member 9	TNF receptor-associated factor 2	""	TRAP3	4-1BB ligand || 4-1BBL	EC 2.3.2.27 || E3 ubiquitin-protein ligase TRAF2 || RING-type E3 ubiquitin transferase TRAF2 || Tumor necrosis factor type 2 receptor-associated protein 3	fantom5,HPRD	9607925	""	""	""
TNF	RIPK1	Tumor necrosis factor	Receptor-interacting serine/threonine-protein kinase 1	TNFA,TNFSF2	RIP,RIP1	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	EC 2.7.11.1 || Cell death protein RIP || Receptor-interacting protein 1 || RIP-1 || Serine/threonine-protein kinase RIP	reactome	""	""	""	""
TNF	SLC5A11	Tumor necrosis factor	Sodium/myo-inositol cotransporter 2	TNFA,TNFSF2	KST1,SLGTX,SMIT2	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	Na(+)/myo-inositol cotransporter 2 || Sodium-dependent glucose cotransporter || Sodium/glucose cotransporter KST1 || Sodium/myo-inositol transporter 2 || SMIT2 || Solute carrier family 5 member 11	fantom5	""	""	""	""
TNF	TNFRSF1A	Tumor necrosis factor	Tumor necrosis factor receptor superfamily member 1A	TNFA,TNFSF2	TNFAR,TNFR1	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	Tumor necrosis factor receptor 1 || TNF-R1 || Tumor necrosis factor receptor type I || TNF-RI || TNFR-I || p55 || p60 || CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein  || TBPI)	HPMR,fantom5,IUPHAR,uniprot,HPRD	7852363,10634209,14743216,19084540	""	""	""
TNF	TNFRSF1B	Tumor necrosis factor	Tumor necrosis factor receptor superfamily member 1B	TNFA,TNFSF2	TNFBR,TNFR2	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	Tumor necrosis factor receptor 2 || TNF-R2 || Tumor necrosis factor receptor type II || TNF-RII || TNFR-II || p75 || p80 TNF-alpha receptor || CD antigen CD120b || Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein  || TBP-2 || TBPII)	HPRD,HPMR,fantom5,IUPHAR,uniprot	2158863,7664431,2158863,19084540	""	""	""
TNF	TNFRSF21	Tumor necrosis factor	Tumor necrosis factor receptor superfamily member 21	TNFA,TNFSF2	DR6,UNQ437/PRO868	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	Death receptor 6 || CD antigen CD358	fantom5,HPMR	9714541	""	""	""
TNF	TRADD	Tumor necrosis factor	Tumor necrosis factor receptor type 1-associated DEATH domain protein	TNFA,TNFSF2	""	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	TNFR1-associated DEATH domain protein || TNFRSF1A-associated via death domain	reactome	""	""	""	""
TNF	TRAF2	Tumor necrosis factor	TNF receptor-associated factor 2	TNFA,TNFSF2	TRAP3	Cachectin || TNF-alpha || Tumor necrosis factor ligand superfamily member 2 || TNF-a) [Cleaved into: Tumor necrosis factor, membrane for || N-terminal fragment || NTF); Intracellular domain  || ICD1); Intracellular domain  || ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form	EC 2.3.2.27 || E3 ubiquitin-protein ligase TRAF2 || RING-type E3 ubiquitin transferase TRAF2 || Tumor necrosis factor type 2 receptor-associated protein 3	HPRD,fantom5	12887920	""	""	""
TPH1	HTR1A	Tryptophan 5-hydroxylase 1	5-hydroxytryptamine receptor 1A	TPH,TPRH,TRPH	ADRB2RL1,ADRBRL1	EC 1.14.16.4 || Tryptophan 5-monooxygenase 1	5-HT-1A || 5-HT1A || G-21 || Serotonin receptor 1A	fantom5,HPMR	""	""	""	""
TPH1	HTR1B	Tryptophan 5-hydroxylase 1	5-hydroxytryptamine receptor 1B	TPH,TPRH,TRPH	HTR1DB	EC 1.14.16.4 || Tryptophan 5-monooxygenase 1	5-HT-1B || 5-HT1B || S12 || Serotonin 1D beta receptor || 5-HT-1D-beta || Serotonin receptor 1B	HPMR,fantom5	""	""	""	""
